treatment,pageviews,calls,reservations,business_id,restaurant_type
0,643,44,39,1,chain
0,621,41,44,2,chain
0,581,40,38,3,chain
0,592,35,31,4,chain
0,648,45,46,5,chain
0,519,37,41,6,chain
0,583,47,42,7,chain
0,659,37,42,8,chain
0,507,40,30,9,chain
0,577,41,35,10,chain
0,552,48,41,11,chain
0,591,42,37,12,chain
0,545,34,41,13,chain
0,601,36,45,14,chain
0,556,38,33,15,chain
0,598,41,36,16,chain
0,563,43,38,17,chain
0,539,36,42,18,chain
0,636,40,44,19,chain
0,629,46,38,20,chain
0,646,39,39,21,chain
0,655,39,44,22,chain
0,649,49,41,23,chain
0,649,41,40,24,chain
0,510,42,44,25,chain
0,564,36,37,26,chain
0,620,35,38,27,chain
0,579,32,35,28,chain
0,701,42,44,29,chain
0,577,37,34,30,chain
0,566,38,38,31,chain
0,580,36,44,32,chain
0,570,37,40,33,chain
0,596,40,39,34,chain
0,730,35,43,35,chain
0,562,44,41,36,chain
0,603,35,39,37,chain
0,724,52,50,38,chain
0,622,45,33,39,chain
0,501,41,42,40,chain
0,580,31,38,41,chain
0,594,35,37,42,chain
0,641,41,45,43,chain
0,650,42,34,44,chain
0,564,41,32,45,chain
0,655,41,39,46,chain
0,535,41,39,47,chain
0,519,35,43,48,chain
0,673,46,42,49,chain
0,565,40,41,50,chain
0,619,33,32,51,chain
0,610,44,39,52,chain
0,684,44,48,53,chain
0,608,38,44,54,chain
0,679,47,41,55,chain
0,597,43,43,56,chain
0,500,34,20,57,chain
0,669,40,46,58,chain
0,584,40,41,59,chain
0,568,44,33,60,chain
0,535,41,45,61,chain
0,616,42,46,62,chain
0,605,36,43,63,chain
0,518,41,40,64,chain
0,614,37,36,65,chain
0,650,38,42,66,chain
0,555,39,29,67,chain
0,559,41,35,68,chain
0,647,50,38,69,chain
0,633,40,49,70,chain
0,597,40,39,71,chain
0,627,38,41,72,chain
0,617,39,40,73,chain
0,579,44,41,74,chain
0,579,40,39,75,chain
0,516,40,39,76,chain
0,559,35,45,77,chain
0,612,38,41,78,chain
0,538,31,32,79,chain
0,532,43,38,80,chain
0,562,40,37,81,chain
0,594,43,37,82,chain
0,532,34,38,83,chain
0,550,42,45,84,chain
0,654,45,43,85,chain
0,556,31,42,86,chain
0,660,49,47,87,chain
0,622,38,40,88,chain
0,556,36,38,89,chain
0,552,43,35,90,chain
0,605,44,36,91,chain
0,570,40,45,92,chain
0,488,42,42,93,chain
0,678,50,45,94,chain
0,573,47,38,95,chain
0,524,29,42,96,chain
0,631,39,39,97,chain
0,640,42,39,98,chain
0,617,39,40,99,chain
0,547,35,34,100,chain
0,666,42,45,101,chain
0,656,39,41,102,chain
0,684,45,47,103,chain
0,569,47,40,104,chain
0,629,45,35,105,chain
0,688,40,45,106,chain
0,581,44,46,107,chain
0,570,41,34,108,chain
0,566,40,41,109,chain
0,559,42,38,110,chain
0,602,35,34,111,chain
0,549,38,34,112,chain
0,564,29,42,113,chain
0,618,39,38,114,chain
0,499,42,35,115,chain
0,659,41,39,116,chain
0,655,47,34,117,chain
0,666,43,44,118,chain
0,551,40,39,119,chain
0,548,43,45,120,chain
0,557,39,29,121,chain
0,573,35,43,122,chain
0,621,41,44,123,chain
0,541,43,40,124,chain
0,518,29,28,125,chain
0,608,34,38,126,chain
0,559,38,42,127,chain
0,598,36,37,128,chain
0,669,50,42,129,chain
0,641,42,47,130,chain
0,608,37,48,131,chain
0,526,38,34,132,chain
0,526,36,43,133,chain
0,561,40,35,134,chain
0,619,41,35,135,chain
0,620,38,45,136,chain
0,646,39,29,137,chain
0,580,37,32,138,chain
0,639,43,43,139,chain
0,538,36,40,140,chain
0,700,47,44,141,chain
0,587,33,45,142,chain
0,597,41,41,143,chain
0,502,35,38,144,chain
0,682,44,42,145,chain
0,622,47,35,146,chain
0,578,39,44,147,chain
0,550,34,41,148,chain
0,637,34,47,149,chain
0,590,37,35,150,chain
0,503,35,34,151,chain
0,694,33,40,152,chain
0,659,48,36,153,chain
0,578,34,27,154,chain
0,624,42,46,155,chain
0,593,41,36,156,chain
0,530,37,32,157,chain
0,528,38,35,158,chain
0,593,37,38,159,chain
0,633,41,46,160,chain
0,535,37,27,161,chain
0,591,46,39,162,chain
0,635,42,44,163,chain
0,545,25,38,164,chain
0,575,35,37,165,chain
0,651,39,45,166,chain
0,710,39,46,167,chain
0,548,41,42,168,chain
0,605,44,44,169,chain
0,562,38,36,170,chain
0,616,34,35,171,chain
0,533,40,42,172,chain
0,598,46,33,173,chain
0,609,43,44,174,chain
0,612,46,48,175,chain
0,703,51,41,176,chain
0,546,40,42,177,chain
0,646,48,42,178,chain
0,518,32,31,179,chain
0,594,43,29,180,chain
0,484,41,30,181,chain
0,679,50,50,182,chain
0,628,43,45,183,chain
0,543,33,29,184,chain
0,581,36,41,185,chain
0,708,47,38,186,chain
0,585,48,47,187,chain
0,613,36,46,188,chain
0,656,51,37,189,chain
0,612,38,41,190,chain
0,512,39,36,191,chain
0,467,31,37,192,chain
0,661,41,40,193,chain
0,545,41,46,194,chain
0,619,42,45,195,chain
0,656,38,46,196,chain
0,653,49,20,197,chain
0,556,37,37,198,chain
0,689,42,45,199,chain
0,540,33,31,200,chain
0,572,41,35,201,chain
0,568,45,47,202,chain
0,564,39,34,203,chain
0,533,33,36,204,chain
0,650,44,36,205,chain
0,593,40,44,206,chain
0,584,45,41,207,chain
0,630,49,36,208,chain
0,746,46,52,209,chain
0,588,36,45,210,chain
0,594,48,45,211,chain
0,516,41,44,212,chain
